iter	Passed	Remaining
0	48	48417
1	48	24450
2	49	16592
3	50	12528
4	50	10087
5	51	8460
6	51	7297
7	51	6426
8	52	5748
9	52	5207
10	52	4762
11	53	4391
12	53	4075
13	53	3800
14	54	3561
15	54	3351
16	54	3168
17	55	3004
18	55	2861
19	55	2730
20	56	2611
21	56	2503
22	56	2416
23	57	2330
24	57	2252
25	58	2173
26	58	2100
27	58	2033
28	58	1970
29	59	1911
30	59	1855
31	59	1804
32	59	1756
33	60	1709
34	60	1665
35	60	1623
36	60	1584
37	61	1548
38	61	1519
39	61	1486
40	62	1455
41	62	1424
42	62	1394
43	62	1367
44	63	1342
45	63	1319
46	63	1294
47	64	1271
48	64	1248
49	64	1227
50	64	1206
51	65	1185
52	65	1166
53	65	1147
54	65	1129
55	65	1112
56	66	1096
57	66	1080
58	66	1066
59	67	1051
60	67	1038
61	67	1026
62	68	1014
63	68	1001
64	68	988
65	68	976
66	69	964
67	69	952
68	69	940
69	69	928
70	70	917
71	70	907
72	70	897
73	70	887
74	71	877
75	71	869
76	71	860
77	72	852
78	72	843
79	72	835
80	72	828
81	73	820
82	73	811
83	73	806
84	74	799
85	74	793
86	74	786
87	75	779
88	75	773
89	75	766
90	76	760
91	76	753
92	76	746
93	76	740
94	77	734
95	77	728
96	77	722
97	77	716
98	78	711
99	78	706
100	78	702
101	79	697
102	79	693
103	79	688
104	80	685
105	80	680
106	81	677
107	81	672
108	81	668
109	82	663
110	82	659
111	82	654
112	82	650
113	83	645
114	83	641
115	83	637
116	83	633
117	84	629
118	84	626
119	84	622
120	85	619
121	85	615
122	86	613
123	86	610
124	86	607
125	87	604
126	87	600
127	87	596
128	87	593
129	88	590
130	88	587
131	88	583
132	89	580
133	89	577
134	89	574
135	89	571
136	90	568
137	90	566
138	90	563
139	91	561
140	91	558
141	92	556
142	92	553
143	92	551
144	92	548
145	93	545
146	93	542
147	93	539
148	94	537
149	94	534
150	94	532
151	94	529
152	95	526
153	95	524
154	95	521
155	95	519
156	96	516
157	96	514
158	96	512
159	97	510
160	97	508
161	97	506
162	98	505
163	98	503
164	99	501
165	99	499
166	99	497
167	99	494
168	100	492
169	100	490
170	100	488
171	101	486
172	101	484
173	101	482
174	101	480
175	102	478
176	102	476
177	102	474
178	103	472
179	103	473
180	104	473
181	104	471
182	105	469
183	105	468
184	105	466
185	106	464
186	106	463
187	106	461
188	107	460
189	107	458
190	107	456
191	108	455
192	108	453
193	108	452
194	109	450
195	109	449
196	109	447
197	110	447
198	110	445
199	111	444
200	111	442
201	111	441
202	112	439
203	112	438
204	112	436
205	112	435
206	113	434
207	113	432
208	113	431
209	114	429
210	114	428
211	114	427
212	115	426
213	115	424
214	116	423
215	116	422
216	116	421
