iter	Passed	Remaining
0	48	48485
1	49	24881
2	50	16886
3	51	12884
4	52	10507
5	53	8922
6	54	7787
7	55	6937
8	56	6274
9	58	5745
10	58	5291
11	59	4938
12	61	4632
13	62	4372
14	63	4144
15	64	3943
16	65	3766
17	66	3608
18	67	3467
19	68	3341
20	69	3230
21	70	3130
22	71	3039
23	72	2952
24	73	2872
25	74	2794
26	75	2724
27	76	2657
28	77	2594
29	78	2536
30	79	2481
31	80	2428
32	81	2379
33	82	2336
34	83	2295
35	84	2256
36	85	2220
37	86	2185
38	87	2152
39	88	2121
40	89	2091
41	90	2063
42	91	2035
43	92	2010
44	93	1985
45	94	1960
46	95	1938
47	96	1916
48	97	1895
49	98	1875
50	99	1855
51	100	1836
52	101	1818
53	102	1800
54	103	1783
55	104	1767
56	105	1751
57	106	1736
58	107	1721
59	108	1706
60	110	1693
61	111	1680
62	112	1666
63	113	1653
64	114	1641
65	114	1625
66	116	1617
67	117	1605
68	118	1594
69	119	1583
70	119	1565
71	121	1560
72	121	1543
73	122	1527
74	122	1511
75	122	1495
76	123	1479
77	123	1464
78	124	1450
79	124	1436
80	125	1422
81	125	1409
82	126	1393
83	126	1380
84	127	1368
85	127	1356
86	128	1343
87	128	1332
88	128	1320
89	129	1309
90	129	1297
91	130	1286
92	130	1276
93	131	1265
94	131	1255
95	132	1245
96	132	1235
97	133	1225
98	133	1216
99	134	1207
100	134	1197
101	135	1188
102	135	1180
103	135	1171
104	136	1163
105	136	1154
106	137	1146
107	137	1138
108	138	1130
109	138	1122
110	139	1115
111	139	1108
112	140	1100
113	140	1093
114	141	1086
115	141	1079
116	142	1071
117	142	1065
118	142	1058
119	143	1051
120	143	1045
121	144	1038
122	144	1031
123	145	1025
124	145	1019
125	146	1015
126	146	1009
127	147	1003
128	147	998
129	148	992
130	148	986
131	149	981
132	149	975
133	150	970
134	150	965
135	151	959
136	151	954
137	152	949
138	152	945
139	153	941
140	153	936
141	154	930
142	154	925
143	154	921
144	155	916
145	155	911
146	156	907
147	156	902
148	157	898
149	157	893
150	158	889
151	158	885
152	159	881
153	159	876
154	160	872
155	160	868
156	160	864
157	161	860
158	161	856
159	162	852
160	162	847
161	163	843
162	163	839
163	164	836
164	164	832
165	165	829
166	165	825
167	165	821
168	166	818
169	166	814
170	167	811
171	167	807
172	168	804
173	168	801
174	169	797
175	169	794
176	170	791
177	170	787
178	171	784
179	171	781
180	172	778
181	172	775
182	172	772
183	173	768
184	173	765
185	174	762
186	174	759
187	175	756
188	175	753
189	176	751
190	176	748
191	177	745
192	177	742
193	178	739
194	178	736
195	178	734
196	179	731
197	179	728
198	180	725
199	180	723
200	181	720
201	181	717
202	182	715
203	182	712
204	183	710
205	183	707
206	184	705
207	184	702
208	185	700
209	185	697
210	185	695
211	186	692
212	186	690
213	187	688
214	187	685
215	188	683
216	188	681
217	189	681
218	190	680
219	192	680
220	193	680
221	193	678
222	194	676
223	194	674
224	195	671
225	195	669
226	196	667
227	196	665
228	197	663
229	197	661
230	198	659
231	198	657
232	199	655
233	199	653
234	200	651
235	200	649
236	201	647
237	201	645
238	202	643
239	202	641
240	203	639
241	203	637
242	203	635
243	204	633
244	204	631
245	205	629
246	205	627
247	206	625
248	206	623
249	207	621
250	207	619
251	208	619
252	209	619
253	210	617
254	210	616
255	211	614
256	211	612
257	212	610
258	212	609
259	213	607
260	213	605
261	214	604
262	215	602
263	215	600
264	215	598
265	216	597
266	216	595
267	217	594
268	217	592
269	218	590
270	218	588
271	219	587
272	219	585
273	220	584
274	221	582
275	221	581
276	222	579
277	222	577
278	223	576
279	223	574
280	224	573
281	224	571
282	224	569
283	225	568
284	225	566
285	226	565
286	226	563
287	227	562
288	227	560
289	228	559
290	228	557
291	229	556
292	229	554
293	230	553
294	230	551
295	231	550
296	231	548
297	232	547
298	232	545
299	233	544
300	233	543
301	234	541
302	234	540
303	235	538
304	235	537
305	236	535
306	236	534
307	237	532
308	237	531
309	238	530
310	238	529
311	239	527
312	239	526
313	240	525
314	240	523
315	241	522
316	241	521
317	242	520
318	242	518
319	243	517
320	243	515
321	244	514
322	245	513
323	245	512
324	246	511
325	246	509
326	247	508
327	247	507
328	248	505
329	248	504
330	248	503
331	249	501
332	249	500
333	250	499
334	251	498
335	251	497
336	252	496
337	252	494
338	253	493
339	253	492
340	254	491
341	254	489
342	255	488
343	255	487
344	256	486
345	256	485
346	257	484
347	257	482
348	258	481
349	258	480
350	259	479
351	259	478
352	260	476
353	260	475
354	261	474
355	261	473
356	262	472
357	262	471
358	263	470
359	263	469
360	264	468
361	265	467
362	265	465
363	266	464
364	266	463
365	267	462
366	267	461
367	268	460
368	268	459
369	269	458
370	269	457
371	270	456
372	270	455
373	271	454
374	272	453
375	272	452
376	274	452
377	275	452
378	276	452
379	276	451
380	277	450
381	277	449
382	278	448
383	278	447
384	279	446
385	279	445
386	280	444
387	280	443
388	281	442
389	281	440
390	282	439
391	282	438
392	283	437
393	283	436
394	284	435
395	284	434
396	285	433
397	285	432
398	286	431
399	286	430
400	287	429
401	287	428
402	288	426
403	288	425
404	289	424
405	289	423
406	290	422
407	290	421
408	291	420
409	291	419
410	292	418
411	292	417
412	293	416
413	293	415
414	294	414
415	294	413
416	295	412
417	295	411
418	296	410
419	296	409
420	297	408
421	297	407
422	297	406
423	298	405
424	298	404
425	299	403
426	299	402
427	300	401
428	300	400
429	301	399
430	301	398
431	302	398
432	303	397
433	303	396
434	304	395
435	304	394
436	305	393
437	305	392
438	306	391
439	306	390
440	307	389
441	307	388
442	308	387
443	308	386
444	309	385
445	309	385
446	310	384
447	310	383
448	311	382
449	311	381
450	312	380
451	312	379
452	313	378
453	313	377
454	314	376
455	314	375
456	315	374
457	315	373
458	316	372
459	316	371
460	317	370
461	317	370
462	318	369
463	318	368
464	319	367
465	319	366
466	320	365
467	320	364
468	321	363
469	321	362
470	322	361
471	322	360
472	323	360
473	323	359
